work_id,title,author,year_first,n_editions,genre_britdrama,genre_annals,genre_main,genre_source
73,1 Promos and Cassandra,"Whetstone, George",1578,1,comedy,comedy,comedy,britdrama
204,1 The Honest Whore (1 The Converted Courtesan) (The Patient Man and the Honest Whore),"Dekker, ThomasMiddleton, Thomas",1604,1,comedy,comedy,comedy,britdrama
161,1 The Two Angry Women of Abingdon,"Porter, Henry",1599,1,comedy,comedy,comedy,britdrama
74,2 Promos and Cassandra,"Whetstone, George",1578,1,comedy,comedy,comedy,britdrama
435,2 The Honest Whore (2 The Converted Courtesan),"Dekker, Thomas",1630,1,comedy,comedy,comedy,britdrama
433,A Chaste Maid in Cheapside,"Middleton, Thomas",1630,1,comedy,comedy,comedy,britdrama
481,A Fine Companion,"Marmion, Shackerley",1633,1,comedy,comedy,comedy,britdrama
412,A Game at Chess,"Middleton, Thomas",1625,1,comedy,satire,comedy,britdrama
276,"A Mad World, My Masters","Middleton, Thomas",1608,1,comedy,comedy,comedy,britdrama
493,A Maidenhead Well Lost,"Heywood, Thomas",1634,1,comedy,comedy,comedy,britdrama
476,A Match at Midnight,"R., W.",1633,1,comedy,comedy,comedy,britdrama
170,A Midsummer Night's Dream,"Shakespeare, William",1600,1,comedy,comedy,comedy,britdrama
561,A New Trick to Cheat the Devil,"Davenport, Robert",1639,1,comedy,comedy,comedy,britdrama
474,A New Way to Pay Old Debts,"Massinger, Philip",1633,1,comedy,comedy,comedy,britdrama
460,"A New Wonder, A Woman Never Vexed","Heywood, ThomasRowley, William",1632,1,comedy,comedy,comedy,britdrama
617,A Tale of a Tub,"Jonson, Ben",1640,1,comedy,comedy,comedy,britdrama
262,A Trick to Catch the Old One,"Middleton, Thomas",1608,1,comedy,comedy,comedy,britdrama
299,A Woman Is a Weathercock,"Field, Nathan",1612,1,comedy,comedy,comedy,britdrama
330,Albumazar,"Tomkis, Thomas",1615,1,comedy,comedy,comedy,britdrama
219,All Fools,"Chapman, George",1605,1,comedy,comedy,comedy,britdrama
356,Amends for Ladies,"Field, Nathan",1618,1,comedy,comedy,comedy,britdrama
91,Andria (The Woman from Andros),"Terence (Publius Terentius Afer)Kyffin, Maurice",1588,1,comedy,comedy,comedy,britdrama
184,Antonio and Mellida,"Marston, John",1602,1,comedy,,comedy,britdrama
414,Apollo Shroving,"Hawkins, William",1627,1,comedy,comedy,comedy,britdrama
431,"Aristippus, or The Jovial Philosopher","Randolph, Thomas",1630,1,entertainment; academic entertainment,comedy,comedy,annals
394,As You Like It,"Shakespeare, William",1623,1,comedy,comedy,comedy,britdrama
455,Bartholomew Fair,"Jonson, Ben",1631,1,comedy,comedy,comedy,britdrama
84,"Campaspe (Alexander, Campaspe, and Diogenes)","Lyly, John",1584,1,comedy,comedy;classical legend,comedy,britdrama
462,"Changes, or Love in a Maze","Shirley, James",1632,1,comedy,comedy,comedy,britdrama
542,Covent Garden,"Nabbes, Thomas",1638,1,comedy,comedy,comedy,britdrama
247,Cupid's Whirligig,"Sharpham, Edward",1607,1,comedy,comedy,comedy,britdrama
181,"Cynthia's Revels, or The Fountain of Self-Love","Jonson, Ben",1616,1,satire,comedy,comedy,annals
58,Damon and Pithias,"Edwards, Richard",1571,1,comedy,tragicomedy,comedy,britdrama
217,Eastward Ho,"Chapman, GeorgeJonson, BenMarston, John",1605,1,comedy,comedy,comedy,britdrama
99,"Endymion, the Man in the Moon","Lyly, John",1591,1,comedy,comedy;classical legend,comedy,britdrama
336,"Englishmen for My Money, or A Woman Will Have Her Will","Haughton, William",1616,1,comedy,comedy,comedy,britdrama
304,"Epicene, or The Silent Woman","Jonson, Ben",1616,1,comedy,comedy,comedy,britdrama
163,Every Man Out of His Humor,"Jonson, Ben",1600,1,comedy,comedy,comedy,britdrama
176,Every Man in His Humor,"Jonson, Ben",1601,1,comedy,comedy,comedy,britdrama
283,Every Woman in Her Humor,Anonymous,1609,1,comedy,comedy,comedy,britdrama
113,"Fair Em, the Miller's Daughter of Manchester",Anonymous,1591,1,comedy,comedy;romance,comedy,britdrama
86,Fedele and Fortunia (Two Italian Gentlemen),"Pasqualigo, LuigiMunday, Anthony",1585,1,comedy,comedy,comedy,britdrama
121,Friar Bacon and Friar Bongay,"Greene, Robert",1594,1,comedy,comedy,comedy,britdrama
105,Gallathea,"Lyly, John",1592,1,comedy,comedy;classical legend,comedy,britdrama
